Vertices;Comparacoes;Tempo(seg);;;;;;;;;
587;687964;0.00;;;;;;;;;
588;690312;0.00;;;;;;;;;
589;692664;0.00;;;;;;;;;
590;695020;0.00;;;;;;;;;
591;697380;0.00;;;;;;;;;
592;699744;0.00;;;;;;;;;
593;702112;0.00;;;;;;;;;
594;704484;0.00;;;;;;;;;
595;706860;0.00;;;;;;;;;
596;709240;0.00;;;;;;;;;
597;711624;0.00;;;;;;;;;
598;714012;0.00;;;;;;;;;
599;716404;0.00;;;;;;;;;
600;718800;0.00;;;;;;;;;
601;721200;0.00;;;;;;;;;
602;723604;0.00;;;;;;;;;
603;726012;0.00;;;;;;;;;
604;728424;0.00;;;;;;;;;
605;730840;0.00;;;;;;;;;
606;733260;0.00;;;;;;;;;
607;735684;0.00;;;;;;;;;
608;738112;0.00;;;;;;;;;
609;740544;0.00;;;;;;;;;
610;742980;0.00;;;;;;;;;
611;745420;0.00;;;;;;;;;
612;747864;0.00;;;;;;;;;
613;750312;0.00;;;;;;;;;
614;752764;0.00;;;;;;;;;
615;755220;0.00;;;;;;;;;
616;757680;0.00;;;;;;;;;
617;760144;0.00;;;;;;;;;
618;762612;0.00;;;;;;;;;
619;765084;0.00;;;;;;;;;
620;767560;0.00;;;;;;;;;
621;770040;0.00;;;;;;;;;
622;772524;0.00;;;;;;;;;
623;775012;0.00;;;;;;;;;
624;777504;0.00;;;;;;;;;
625;780000;0.00;;;;;;;;;
626;782500;0.00;;;;;;;;;
627;785004;0.00;;;;;;;;;
628;787512;0.00;;;;;;;;;
629;790024;0.00;;;;;;;;;
630;792540;0.00;;;;;;;;;
631;795060;0.00;;;;;;;;;
632;797584;0.00;;;;;;;;;
633;800112;0.00;;;;;;;;;
634;802644;0.00;;;;;;;;;
635;805180;0.00;;;;;;;;;
636;807720;0.00;;;;;;;;;
637;810264;0.00;;;;;;;;;
638;812812;0.00;;;;;;;;;
639;815364;0.00;;;;;;;;;
640;817920;0.00;;;;;;;;;
641;820480;0.00;;;;;;;;;
642;823044;0.00;;;;;;;;;
643;825612;0.00;;;;;;;;;
644;828184;0.00;;;;;;;;;
645;830760;0.00;;;;;;;;;
646;833340;0.00;;;;;;;;;
647;835924;0.00;;;;;;;;;
648;838512;0.00;;;;;;;;;
649;841104;0.00;;;;;;;;;
650;843700;0.00;;;;;;;;;
651;846300;0.00;;;;;;;;;
652;848904;0.00;;;;;;;;;
653;851512;0.00;;;;;;;;;
654;854124;0.00;;;;;;;;;
655;856740;0.00;;;;;;;;;
